,rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,rowupdate
46,47,BD+20 594,b,Transit,1,41.6855,0.003,-0.0031,03h34m36.23s,53.650966000000004,+20d35m57.2s,20.599232,152.1,9.7,-7.4,11.038,V (Johnson),5766.0,99.0,-99.0,0.96,0.03,-0.03,0.93,0.06,-0.04,2016-07-28
61,62,CoRoT-10,b,Transit,1,13.2406,0.0002,-0.0002,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345.0,70.0,-70.0,15.22,V (Johnson),5075.0,75.0,-75.0,0.89,0.05,-0.05,0.79,0.05,-0.05,2014-05-14
63,64,CoRoT-12,b,Transit,1,2.828042,1.3e-05,-1.3e-05,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150.0,85.0,-85.0,15.515,V (Johnson),5675.0,80.0,-80.0,1.08,0.08,-0.07,1.12,0.1,-0.09,2014-05-14
64,65,CoRoT-13,b,Transit,1,4.03519,3e-05,-3e-05,06h50m53.07s,102.721137,-05d05m11.2s,-5.086444999999999,1060.0,100.0,-100.0,15.039000000000001,V (Johnson),5945.0,90.0,-90.0,1.09,0.02,-0.02,1.01,0.03,-0.03,2014-05-14
65,66,CoRoT-14,b,Transit,1,1.51214,0.00013,-0.00013,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340.0,110.0,-110.0,16.033,V (Johnson),6035.0,100.0,-100.0,1.13,0.09,-0.09,1.21,0.08,-0.08,2014-05-14
66,67,CoRoT-16,b,Transit,1,5.35227,0.0002,-0.0002,18h34m05.93s,278.524691,-06d00m09.3s,-6.0025949999999995,840.0,90.0,-90.0,15.63,V (Johnson),5650.0,100.0,-100.0,1.1,0.08,-0.08,1.19,0.14,-0.13,2014-05-14
67,68,CoRoT-17,b,Transit,1,3.7681,0.0003,-0.0003,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920.0,50.0,-50.0,15.46,V (Johnson),5740.0,80.0,-80.0,1.04,0.1,-0.1,1.59,0.07,-0.07,2014-05-14
68,69,CoRoT-18,b,Transit,1,1.9000693,2.8e-06,-2.8e-06,06h32m41.38s,98.17241,-00d01m53.7s,-0.031586,870.0,90.0,-90.0,15.0,V (Johnson),5440.0,100.0,-100.0,0.95,0.15,-0.15,1.0,0.13,-0.13,2014-05-14
69,70,CoRoT-19,b,Transit,1,3.89713,2e-05,-2e-05,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770.0,160.0,-160.0,14.007,V (Johnson),6090.0,70.0,-70.0,1.21,0.05,-0.05,1.65,0.04,-0.04,2014-05-14
71,72,CoRoT-20,b,Transit,1,9.24285,0.0003,-0.0003,06h30m52.90s,97.72040799999999,+00d13m36.9s,0.226919,1230.0,120.0,-120.0,14.66,V (Johnson),5880.0,90.0,-90.0,1.14,0.08,-0.08,1.02,0.05,-0.05,2014-05-14
72,73,CoRoT-22,b,Transit,1,9.75598,0.00011,-0.00011,18h42m40.11s,280.66711499999997,+06d13m08.9s,6.219136,592.0,25.0,-42.0,13.944,V (Johnson),5939.0,54.0,-120.0,1.1,0.05,-0.05,1.14,0.04,-0.09,2014-08-21
73,74,CoRoT-23,b,Transit,1,3.6313,0.0001,-0.0001,18h39m07.83s,279.78261499999996,+04d21m28.1s,4.357806,600.0,50.0,-50.0,15.63,V (Johnson),5900.0,100.0,-100.0,1.14,0.08,-0.08,1.61,0.18,-0.18,2014-05-14
85,86,CoRoT-7,b,Transit,2,0.85359159,5.7e-07,-5.7e-07,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.7,4.5,-4.5,11.668,V (Johnson),5259.0,58.0,-58.0,0.91,0.02,-0.02,0.82,0.02,-0.02,2015-03-05
86,87,CoRoT-7,c,Radial Velocity,2,3.698,0.003,-0.003,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.7,4.5,-4.5,11.668,V (Johnson),5259.0,58.0,-58.0,0.91,0.02,-0.02,0.82,0.02,-0.02,2015-09-10
87,88,CoRoT-8,b,Transit,1,6.21229,3e-05,-3e-05,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,380.0,30.0,-30.0,14.8,V (Johnson),5080.0,80.0,-80.0,0.88,0.04,-0.04,0.77,0.02,-0.02,2014-05-14
94,95,GJ 1132,b,Transit,1,1.62893,3.1e-05,-3.1e-05,10h14m51.78s,153.71573700000002,-47d09m24.2s,-47.156727000000004,12.04,0.24,-0.24,13.49,V (Johnson),3270.0,140.0,-140.0,0.18,0.02,-0.02,0.21,0.02,-0.02,2015-11-12
96,97,GJ 15 A,b,Radial Velocity,1,11.4433,0.0016,-0.0016,00h18m22.89s,4.595356,+44d01m22.6s,44.022953,3.57,0.01,-0.01,8.08,V (Johnson),3567.0,11.0,-11.0,0.38,0.06,-0.06,0.39,0.0,0.0,2014-09-18
100,101,GJ 179,b,Radial Velocity,1,2288.0,59.0,-59.0,04h52m05.73s,73.023865,+06d28m35.5s,6.476539,12.12,0.56,-0.62,12.0,V (Johnson),3370.0,100.0,-100.0,0.36,0.03,-0.03,0.38,0.02,-0.02,2014-05-14
107,108,GJ 3470,b,Radial Velocity,1,3.3366487,4.3e-06,-3.3e-06,07h59m05.84s,119.774349,+15d23m29.4s,15.391492000000001,25.2,2.9,-2.9,12.33,V (Johnson),3652.0,50.0,-50.0,0.51,0.06,-0.06,0.48,0.04,-0.04,2014-07-23
109,110,GJ 3998,b,Radial Velocity,2,2.64977,0.00081,-0.00077,17h16m00.64s,259.002655,+11d03m27.6s,11.057666000000001,17.79,0.72,-0.72,10.83,V (Johnson),3722.0,68.0,-68.0,0.5,0.05,-0.05,0.49,0.05,-0.05,2016-07-28
110,111,GJ 3998,c,Radial Velocity,2,13.74,0.016,-0.016,17h16m00.64s,259.002655,+11d03m27.6s,11.057666000000001,17.79,0.72,-0.72,10.83,V (Johnson),3722.0,68.0,-68.0,0.5,0.05,-0.05,0.49,0.05,-0.05,2016-07-28
127,128,GJ 687,b,Radial Velocity,1,38.14,0.015,-0.015,17h36m25.90s,264.10791,+68d20m20.9s,68.33914200000001,4.53,0.02,-0.02,9.15,V (Johnson),3413.0,28.0,-28.0,0.41,0.04,-0.04,0.42,0.01,-0.01,2014-05-28
139,140,HAT-P-1,b,Transit,1,4.46529976,5.5e-07,-5.5e-07,22h57m46.83s,344.445104,+38d40m29.8s,38.674953,139.0,22.0,-19.0,10.34,V (Johnson),5980.0,49.0,-49.0,1.15,0.05,-0.05,1.17,0.03,-0.03,2015-09-10
