,rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2,rowupdate
701,702,K2-3,c,Transit,3,24.64354,0.00117,-0.00117,11h29m20.39s,172.334949,-01d27m17.2s,-1.454787,42.0,2.0,-2.0,12.17,V (Johnson),3896.0,189.0,-189.0,0.6,0.09,-0.09,0.56,0.07,-0.07,2016-07-07
702,703,K2-3,d,Transit,3,44.55983,0.0059,-0.0059,11h29m20.39s,172.334949,-01d27m17.2s,-1.454787,42.0,2.0,-2.0,12.17,V (Johnson),3896.0,189.0,-189.0,0.6,0.09,-0.09,0.56,0.07,-0.07,2016-07-07
703,704,K2-30,b,Transit,1,4.098503,1.1e-05,-1.1e-05,03h29m22.07s,52.341962,+22d17m57.9s,22.299405,278.0,7.6,-7.6,13.53,V (Johnson),5425.0,40.0,-40.0,0.9,0.04,-0.04,0.84,0.03,-0.03,2016-04-14
708,709,K2-33,b,Transit,1,5.424865,3.5e-05,-3.1e-05,16h10m14.74s,242.561406,-19d19m09.4s,-19.319273000000003,145.0,15.0,-15.0,15.714,V (Johnson),3540.0,70.0,-70.0,0.56,0.09,-0.09,1.05,0.07,-0.07,2016-06-23
709,710,K2-34,b,Transit,1,2.995607,1.7e-05,-1.7e-05,08h30m18.90s,127.57876999999999,+22d14m09.3s,22.235908,377.0,20.0,-20.0,11.548,V (Johnson),6132.0,47.0,-47.0,1.28,0.06,-0.09,1.53,0.08,-0.08,2016-06-03
750,751,K2-65,b,Transit,1,12.6475,0.0013,-0.0013,22h12m50.82s,333.21176099999997,-10d55m31.4s,-10.925379,78.06,11.17,-15.66,10.800999999999998,V (Johnson),5213.0,336.0,-336.0,0.87,0.1,-0.1,0.84,0.12,-0.12,2016-07-18
785,786,K2-9,b,Transit,1,18.4498,0.0015,-0.0015,11h45m03.47s,176.264468,+00d00m19.1s,0.005301,110.0,12.0,-12.0,15.63,V (Johnson),3390.0,150.0,-150.0,0.3,0.14,-0.14,0.31,0.11,-0.11,2016-01-21
791,792,KELT-10,b,Transit,1,4.1662739,6.3e-06,-6.3e-06,18h58m11.61s,284.548373,-47d00m11.7s,-47.003242,183.0,14.0,-14.0,10.854000000000001,V (Johnson),5948.0,74.0,-74.0,1.11,0.06,-0.06,1.21,0.05,-0.04,2016-04-28
792,793,KELT-14,b,Transit,1,1.7100566,3.2e-06,-2.6e-06,07h13m12.36s,108.30148500000001,-42d24m35.1s,-42.409744,266.0,10.0,-10.0,11.0,V (Johnson),5720.0,130.0,-130.0,1.24,0.04,-0.04,1.52,0.03,-0.03,2016-06-03
793,794,KELT-15,b,Transit,1,3.329441,1.6e-05,-1.6e-05,07h49m39.61s,117.41503700000001,-52d07m13.6s,-52.120453000000005,291.0,30.0,-30.0,11.189,V (Johnson),6003.0,56.0,-52.0,1.18,0.05,-0.05,1.48,0.09,-0.04,2016-03-17
795,796,KELT-3,b,Transit,1,2.7033904,9.9e-06,-1e-05,09h54m34.40s,148.643324,+40d23m17.0s,40.388069,178.0,16.0,-16.0,9.873,V (Johnson),6306.0,50.0,-49.0,1.28,0.06,-0.06,1.47,0.07,-0.07,2014-05-14
796,797,KELT-4 A,b,Transit,1,2.9895932,4.9e-06,-4.9e-06,10h28m15.01s,157.062546,+25d34m23.5s,25.573189000000003,210.0,10.0,-10.0,9.98,V (Johnson),6206.0,75.0,-75.0,1.2,0.07,-0.06,1.6,0.04,-0.04,2016-02-25
797,798,KELT-6,b,Transit,2,7.8455821,7e-06,-7e-06,13h03m55.65s,195.981868,+30d38m24.2s,30.640051,222.0,8.0,-8.0,10.418,V (Johnson),6272.0,61.0,-61.0,1.13,0.06,-0.06,1.53,0.14,-0.14,2015-09-03
798,799,KELT-6,c,Radial Velocity,2,1276.0,81.0,-67.0,13h03m55.65s,195.981868,+30d38m24.2s,30.640051,222.0,8.0,-8.0,10.418,V (Johnson),6272.0,61.0,-61.0,1.13,0.06,-0.06,1.53,0.14,-0.14,2015-09-03
799,800,KELT-7,b,Transit,1,2.7347749,3.9e-06,-3.9e-06,05h13m10.93s,78.295532,+33d19m05.4s,33.318165,129.0,8.0,-8.0,8.54,V (Johnson),6789.0,50.0,-49.0,1.53,0.07,-0.05,1.73,0.04,-0.04,2015-06-04
800,801,KELT-8,b,Transit,1,3.24406,0.00016,-0.00016,18h53m13.32s,283.30551,+24d07m38.6s,24.12738,236.0,9.0,-9.0,10.833,V (Johnson),5754.0,54.0,-55.0,1.21,0.08,-0.07,1.67,0.14,-0.12,2015-09-03
811,812,KOI-12,b,Transit,1,17.8552333,9e-07,-9e-07,19h49m48.90s,297.453731,+41d00m39.6s,41.010991,426.0,40.0,-40.0,11.353,Kepler-band,6820.0,120.0,-120.0,1.45,0.09,-0.09,1.63,0.15,-0.15,2015-05-14
813,814,KOI-142,b,Transit,2,10.95416,0.00011,-0.00013,19h24m35.54s,291.148088,+40d40m09.9s,40.669407,339.0,25.0,-23.0,13.11,V (Johnson),5471.0,50.0,-50.0,0.96,0.04,-0.05,0.88,0.03,-0.04,2014-05-14
814,815,KOI-142,c,Transit Timing Variations,2,22.3395,0.0019,-0.0017,19h24m35.54s,291.148088,+40d40m09.9s,40.669407,339.0,25.0,-23.0,13.11,V (Johnson),5471.0,50.0,-50.0,0.96,0.04,-0.05,0.88,0.03,-0.04,2014-05-14
816,817,KOI-351,b,Transit,7,7.008151,1.9e-05,-1.9e-05,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.0,100.0,-100.0,13.804,Kepler-band,6080.0,260.0,-170.0,1.2,0.1,-0.1,1.2,0.1,-0.1,2014-05-14
817,818,KOI-351,c,Transit,7,8.719375,2.7e-05,-2.7e-05,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.0,100.0,-100.0,13.804,Kepler-band,6080.0,260.0,-170.0,1.2,0.1,-0.1,1.2,0.1,-0.1,2014-05-14
818,819,KOI-351,d,Transit,7,59.73667,0.00038,-0.00038,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.0,100.0,-100.0,13.804,Kepler-band,6080.0,260.0,-170.0,1.2,0.1,-0.1,1.2,0.1,-0.1,2014-05-14
819,820,KOI-351,e,Transit,7,91.93913,0.00073,-0.00073,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.0,100.0,-100.0,13.804,Kepler-band,6080.0,260.0,-170.0,1.2,0.1,-0.1,1.2,0.1,-0.1,2014-05-14
820,821,KOI-351,f,Transit,7,124.9144,0.0019,-0.0019,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.0,100.0,-100.0,13.804,Kepler-band,6080.0,260.0,-170.0,1.2,0.1,-0.1,1.2,0.1,-0.1,2014-05-14
821,822,KOI-351,g,Transit,7,210.60697,0.00043,-0.00043,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.0,100.0,-100.0,13.804,Kepler-band,6080.0,260.0,-170.0,1.2,0.1,-0.1,1.2,0.1,-0.1,2014-05-14
822,823,KOI-351,h,Transit,7,331.60059,0.00037,-0.00037,18h57m44.04s,284.433492,+49d18m18.6s,49.305161,780.0,100.0,-100.0,13.804,Kepler-band,6080.0,260.0,-170.0,1.2,0.1,-0.1,1.2,0.1,-0.1,2014-05-14
823,824,KOI-55,b,Orbital Brightness Modulation,2,0.240104,4e-06,-4e-06,19h45m25.47s,296.35610499999996,+41d05m33.9s,41.092755,1180.0,95.0,-95.0,14.87,V (Johnson),27730.0,270.0,-270.0,0.5,0.0,0.0,0.2,0.01,-0.01,2014-05-14
824,825,KOI-55,c,Orbital Brightness Modulation,2,0.342887,1.3e-05,-1.3e-05,19h45m25.47s,296.35610499999996,+41d05m33.9s,41.092755,1180.0,95.0,-95.0,14.87,V (Johnson),27730.0,270.0,-270.0,0.5,0.0,0.0,0.2,0.01,-0.01,2014-05-14
829,830,Kapteyn,c,Radial Velocity,1,121.54,0.25,-0.25,05h11m40.58s,77.91909,-45d01m06.3s,-45.018414,3.92,0.01,-0.01,8.845,V (Johnson),3550.0,50.0,-50.0,0.28,0.01,-0.01,0.29,0.03,-0.03,2014-06-04
830,831,Kepler-10,b,Transit,2,0.837491,2e-06,-2e-06,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,173.0,27.0,-27.0,10.94,V (Johnson),5627.0,44.0,-44.0,0.91,0.02,-0.02,1.06,0.01,-0.01,2015-10-15
831,832,Kepler-10,c,Transit,2,45.294301,4.8e-05,-4.8e-05,19h02m43.05s,285.679394,+50d14m28.7s,50.241299,173.0,27.0,-27.0,10.94,V (Johnson),5627.0,44.0,-44.0,0.91,0.02,-0.02,1.06,0.01,-0.01,2014-06-02
835,836,Kepler-1000,b,Transit,1,120.0181272,0.0003628,-0.0003628,19h06m44.53s,286.685523,+47d05m53.6s,47.098221,925.0,51.17,-50.08,13.255999999999998,Kepler-band,6453.0,74.15,-73.42,1.4,0.04,-0.04,1.51,0.08,-0.07,2016-05-10
836,837,Kepler-1001,b,Transit,1,14.30511983,4.34e-05,-4.34e-05,19h05m05.73s,286.273871,+48d37m07.3s,48.618706,1009.0,107.0,-69.51,15.338,Kepler-band,5491.0,66.16,-68.91,0.9,0.04,-0.04,0.88,0.09,-0.06,2016-05-10
837,838,Kepler-1002,b,Transit,1,4.33642933,6.95e-06,-6.95e-06,19h32m19.08s,293.079495,+43d04m25.4s,43.073715,425.0,14.56,-12.18,11.704,Kepler-band,6144.0,47.25,-61.08,1.22,0.05,-0.05,1.57,0.05,-0.04,2016-05-10
838,839,Kepler-1003,b,Transit,1,3.55485691,6.71e-06,-6.71e-06,19h28m04.91s,292.020456,+44d52m34.4s,44.876217,873.0,239.6,-116.11,14.052999999999999,Kepler-band,6109.0,150.04,-195.29,1.11,0.13,-0.08,1.17,0.32,-0.15,2016-05-10
839,840,Kepler-1004,b,Transit,1,5.28789787,1.198e-05,-1.198e-05,19h49m26.23s,297.359299,+49d47m51.2s,49.79755,1080.0,86.99,-66.57,13.427,Kepler-band,4972.0,52.3,-39.52,1.11,0.18,-0.12,3.39,0.28,-0.22,2016-05-10
840,841,Kepler-1005,b,Transit,1,6.49801525,1.32e-05,-1.32e-05,19h05m08.64s,286.286014,+43d19m13.7s,43.320461,515.0,72.05,-50.36,13.25,Kepler-band,5782.0,68.03,-67.92,1.0,0.04,-0.04,1.06,0.15,-0.1,2016-05-10
841,842,Kepler-1006,b,Transit,1,19.76172042,6.67e-05,-6.67e-05,19h43m00.99s,295.754127,+42d32m14.9s,42.537476,496.0,64.95,-44.95,14.562999999999999,Kepler-band,5328.0,180.84,-112.84,0.78,0.07,-0.06,0.74,0.09,-0.06,2016-05-10
842,843,Kepler-1007,b,Transit,1,5.18500207,9.32e-06,-9.32e-06,19h43m37.57s,295.906552,+45d48m32.8s,45.80912,365.0,17.69,-18.89,14.744000000000002,Kepler-band,4587.0,88.05,-98.48,0.73,0.03,-0.04,0.7,0.03,-0.03,2016-05-10
843,844,Kepler-1008,b,Transit,1,12.43931193,2.837e-05,-2.837e-05,19h46m11.41s,296.547525,+44d56m31.0s,44.941933,299.0,13.18,-11.49,13.395,Kepler-band,5066.0,79.91,-66.82,0.81,0.03,-0.03,0.78,0.03,-0.03,2016-05-10
844,845,Kepler-1009,b,Transit,1,11.35011917,2.25e-05,-2.25e-05,18h51m26.38s,282.85992999999996,+42d39m56.8s,42.665764,281.0,13.64,-14.26,15.277999999999999,Kepler-band,4027.0,41.14,-36.46,0.59,0.02,-0.03,0.57,0.02,-0.02,2016-05-10
847,848,Kepler-1010,b,Transit,1,34.2685705,0.0001181,-0.0001181,19h16m46.23s,289.192636,+44d08m57.6s,44.149326,610.0,41.36,-35.83,14.685,Kepler-band,5253.0,67.75,-80.75,0.86,0.04,-0.04,0.82,0.05,-0.04,2016-05-10
848,849,Kepler-1011,b,Transit,1,5.75322197,9.42e-06,-9.42e-06,19h49m36.37s,297.401546,+46d49m26.4s,46.824001,860.0,89.02,-58.61,15.196,Kepler-band,5416.0,95.5,-130.93,0.91,0.04,-0.04,0.88,0.09,-0.05,2016-05-10
849,850,Kepler-1012,b,Transit,1,5.50860439,1.151e-05,-1.151e-05,19h17m11.10s,289.29627,+46d27m28.6s,46.457954,420.0,22.19,-18.75,13.317,Kepler-band,5556.0,77.89,-67.52,0.95,0.03,-0.04,0.91,0.05,-0.04,2016-05-10
850,851,Kepler-1013,b,Transit,1,18.93054959,4.672e-05,-4.672e-05,19h20m59.54s,290.24807200000004,+44d26m06.9s,44.435241999999995,433.0,21.12,-19.39,14.417,Kepler-band,4954.0,77.29,-81.88,0.81,0.04,-0.04,0.76,0.03,-0.03,2016-05-10
851,852,Kepler-1014,b,Transit,1,16.57110363,3.817e-05,-3.817e-05,19h00m29.29s,285.122033,+44d06m38.2s,44.110603000000005,672.0,61.42,-43.1,14.64,Kepler-band,5388.0,68.87,-66.36,0.88,0.04,-0.05,0.84,0.07,-0.05,2016-05-10
852,853,Kepler-1015,b,Transit,1,16.00494214,4.175e-05,-4.175e-05,19h31m01.76s,292.75732999999997,+43d25m36.9s,43.42691,932.0,334.63,-173.0,12.818,Kepler-band,6769.0,136.36,-197.14,1.49,0.22,-0.15,1.81,0.67,-0.34,2016-05-10
853,854,Kepler-1016,b,Transit,2,1.95452434,3.31e-06,-3.31e-06,19h38m27.27s,294.613645,+45d59m04.6s,45.984623,1239.0,210.99,-141.4,15.356,Kepler-band,5821.0,177.41,-169.89,0.99,0.08,-0.07,1.0,0.17,-0.1,2016-05-10
854,855,Kepler-1016,c,Transit,2,105.6551369,0.0005452,-0.0005452,19h38m27.27s,294.613645,+45d59m04.6s,45.984623,1239.0,210.99,-141.4,15.356,Kepler-band,5821.0,177.41,-169.89,0.99,0.08,-0.07,1.0,0.17,-0.1,2016-05-10
855,856,Kepler-1017,b,Transit,1,7.23400469,1.433e-05,-1.433e-05,18h53m52.65s,283.469362,+40d07m57.4s,40.132607,554.0,22.09,-20.74,14.139000000000001,Kepler-band,5473.0,93.16,-81.05,0.93,0.04,-0.04,0.87,0.03,-0.03,2016-05-10
856,857,Kepler-1018,b,Transit,1,49.1013514,0.0001876,-0.0001876,18h54m23.21s,283.596696,+45d24m28.4s,45.407879,894.0,103.42,-65.54,15.040999999999999,Kepler-band,5518.0,61.16,-57.64,0.91,0.04,-0.06,0.88,0.1,-0.06,2016-05-10
857,858,Kepler-1019,b,Transit,1,1.41122985,7.5e-07,-7.5e-07,18h54m52.21s,283.71752599999996,+47d12m16.0s,47.204449,198.0,9.14,-12.43,13.59,Kepler-band,4433.0,43.73,-45.09,0.7,0.03,-0.05,0.67,0.02,-0.04,2016-05-10
863,864,Kepler-1020,b,Transit,1,96.9151496,0.0003632,-0.0003632,19h30m41.41s,292.672551,+46d22m38.7s,46.377421999999996,446.0,12.98,-14.07,14.030999999999999,Kepler-band,5227.0,66.71,-60.63,0.87,0.03,-0.03,0.8,0.02,-0.02,2016-05-10
864,865,Kepler-1021,b,Transit,1,13.47469571,3.21e-05,-3.21e-05,19h40m49.18s,295.204905,+42d33m34.9s,42.559681,837.0,88.53,-67.3,15.164000000000001,Kepler-band,5431.0,143.14,-143.99,0.89,0.05,-0.05,0.86,0.09,-0.06,2016-05-10
865,866,Kepler-1022,b,Transit,1,10.99469878,1.88e-05,-1.88e-05,19h17m24.48s,289.35200499999996,+46d58m25.4s,46.973728,455.0,20.19,-23.27,15.389000000000001,Kepler-band,4445.0,49.47,-51.77,0.71,0.03,-0.04,0.68,0.02,-0.03,2016-05-10
866,867,Kepler-1023,b,Transit,1,62.1387714,0.0002199,-0.0002199,19h16m07.14s,289.029742,+49d46m10.9s,49.769707000000004,686.0,78.27,-44.16,14.52,Kepler-band,5494.0,75.28,-98.69,0.93,0.04,-0.04,0.89,0.1,-0.05,2016-05-10
867,868,Kepler-1024,b,Transit,1,66.4162133,0.0003538,-0.0003538,19h27m48.24s,291.950991,+38d15m06.1s,38.251698,1017.0,64.86,-69.53,15.982999999999999,Kepler-band,5143.0,126.73,-76.37,0.81,0.04,-0.05,0.78,0.04,-0.05,2016-05-10
868,869,Kepler-1025,b,Transit,1,37.3229493,0.0001363,-0.0001363,18h58m02.45s,284.510201,+43d57m42.0s,43.961665999999994,716.0,148.44,-82.28,13.573,Kepler-band,6089.0,102.4,-95.52,1.09,0.08,-0.07,1.13,0.23,-0.12,2016-05-10
869,870,Kepler-1026,b,Transit,1,36.5156053,0.0001037,-0.0001037,18h54m25.26s,283.605263,+39d59m52.7s,39.99798,389.0,19.89,-21.87,14.254000000000001,Kepler-band,4948.0,85.79,-89.37,0.79,0.04,-0.04,0.75,0.03,-0.04,2016-05-10
870,871,Kepler-1027,b,Transit,1,1.9078052,2.46e-06,-2.46e-06,19h10m17.08s,287.571185,+42d48m50.1s,42.813922999999996,291.0,7.82,-6.58,12.852,Kepler-band,5436.0,66.85,-58.48,0.91,0.03,-0.02,0.82,0.02,-0.02,2016-05-10
871,872,Kepler-1028,b,Transit,1,2.51462432,4.95e-06,-4.95e-06,19h18m22.34s,289.593097,+49d46m52.2s,49.781158000000005,633.0,69.95,-51.06,14.325,Kepler-band,5522.0,102.65,-78.23,0.9,0.05,-0.06,0.87,0.1,-0.07,2016-05-10
872,873,Kepler-1029,b,Transit,1,4.41769648,8.9e-06,-8.9e-06,19h28m31.91s,292.132976,+41d32m51.1s,41.547540000000005,422.0,23.2,-22.95,14.31,Kepler-band,5030.0,68.38,-91.81,0.82,0.04,-0.04,0.77,0.04,-0.04,2016-05-10
875,876,Kepler-1030,b,Transit,1,19.32952416,7.474e-05,-7.474e-05,19h34m43.66s,293.681915,+45d49m03.2s,45.817559,795.0,41.25,-42.24,15.719000000000001,Kepler-band,4983.0,78.38,-85.01,0.8,0.04,-0.04,0.76,0.04,-0.04,2016-05-10
876,877,Kepler-1031,b,Transit,1,1.22621732,4.51e-06,-4.51e-06,19h44m21.54s,296.08974700000005,+48d57m19.4s,48.955376,741.0,179.6,-89.39,13.8,Kepler-band,6011.0,125.91,-133.3,1.09,0.1,-0.07,1.12,0.27,-0.13,2016-05-10
877,878,Kepler-1032,b,Transit,1,3.29011795,5.05e-06,-5.05e-06,19h19m43.41s,289.930872,+40d05m51.9s,40.097751,607.0,20.92,-23.92,15.753,Kepler-band,4647.0,57.14,-84.37,0.77,0.03,-0.03,0.71,0.02,-0.02,2016-05-10
878,879,Kepler-1033,b,Transit,1,7.56052806,2.405e-05,-2.405e-05,18h55m22.83s,283.845142,+44d36m32.7s,44.609093,1425.0,230.34,-101.79,15.985999999999999,Kepler-band,5547.0,59.76,-66.49,0.94,0.04,-0.04,0.92,0.15,-0.06,2016-05-10
879,880,Kepler-1034,b,Transit,1,12.12400943,3.32e-05,-3.32e-05,19h04m27.69s,286.115368,+37d58m01.2s,37.966997,706.0,45.88,-46.12,15.09,Kepler-band,5198.0,102.36,-86.25,0.83,0.04,-0.04,0.8,0.05,-0.05,2016-05-10
880,881,Kepler-1035,b,Transit,1,2.71407755,3.71e-06,-3.71e-06,19h16m10.13s,289.042225,+42d52m57.0s,42.882488,408.0,96.89,-39.28,12.987,Kepler-band,5763.0,114.35,-121.15,0.98,0.06,-0.06,0.97,0.23,-0.09,2016-05-10
881,882,Kepler-1036,b,Transit,1,122.8808058,0.000709,-0.000709,19h40m43.59s,295.18163799999996,+49d56m44.8s,49.945786,507.0,22.34,-20.21,13.8,Kepler-band,5533.0,83.31,-69.58,0.95,0.03,-0.04,0.89,0.04,-0.03,2016-05-10
882,883,Kepler-1037,b,Transit,1,1.06378867,1.26e-06,-1.26e-06,19h45m21.85s,296.341029,+47d10m15.1s,47.170856,451.0,25.02,-25.69,14.229000000000001,Kepler-band,5105.0,96.95,-70.71,0.82,0.04,-0.04,0.78,0.04,-0.04,2016-05-10
883,884,Kepler-1038,b,Transit,1,148.4603382,0.0006894,-0.0006894,19h55m53.32s,298.97218399999997,+44d07m56.6s,44.132378,622.0,74.94,-52.89,14.839,Kepler-band,5335.0,253.32,-212.93,0.87,0.07,-0.06,0.83,0.09,-0.06,2016-05-10
884,885,Kepler-1039,b,Transit,1,0.93488424,8.7e-07,-8.7e-07,19h53m18.38s,298.326591,+45d18m55.9s,45.315514,324.0,23.57,-20.7,14.145,Kepler-band,4870.0,194.18,-173.27,0.79,0.05,-0.04,0.74,0.04,-0.04,2016-05-10
888,889,Kepler-1040,b,Transit,1,201.1214,0.001945,-0.001945,18h52m27.31s,283.113784,+48d07m53.0s,48.131393,473.0,33.12,-25.47,13.328,Kepler-band,5694.0,78.24,-65.65,0.98,0.04,-0.04,0.96,0.06,-0.05,2016-05-10
889,890,Kepler-1041,b,Transit,1,24.7576421,0.0001112,-0.0001112,19h35m31.62s,293.881768,+49d40m59.4s,49.683155,979.0,206.21,-102.97,14.49,Kepler-band,5957.0,107.73,-105.23,1.06,0.07,-0.07,1.08,0.23,-0.11,2016-05-10
890,891,Kepler-1042,b,Transit,1,10.13202575,3.028e-05,-3.028e-05,19h14m40.54s,288.668933,+39d49m26.4s,39.824006,659.0,32.13,-48.91,15.629000000000001,Kepler-band,4815.0,86.89,-79.62,0.75,0.04,-0.05,0.72,0.03,-0.05,2016-05-10
891,892,Kepler-1043,b,Transit,1,38.5053398,0.0001785,-0.0001785,18h46m39.12s,281.662983,+47d34m06.9s,47.568584,838.0,98.65,-65.25,14.777000000000001,Kepler-band,5629.0,73.19,-67.58,0.92,0.05,-0.06,0.9,0.1,-0.07,2016-05-10
892,893,Kepler-1044,b,Transit,1,6.77408868,1.867e-05,-1.867e-05,19h32m34.67s,293.144456,+46d39m58.5s,46.666237,1507.0,344.55,-170.91,15.368,Kepler-band,5985.0,112.26,-124.51,1.08,0.08,-0.07,1.11,0.25,-0.12,2016-05-10
893,894,Kepler-1045,b,Transit,1,26.41045478,7.194e-05,-7.194e-05,18h56m43.99s,284.183296,+45d04m26.8s,45.074104,971.0,67.86,-56.49,15.593,Kepler-band,5301.0,56.01,-59.81,0.86,0.04,-0.05,0.82,0.06,-0.05,2016-05-10
894,895,Kepler-1046,b,Transit,1,14.37508035,4.094e-05,-4.094e-05,19h47m01.38s,296.755759,+46d59m53.8s,46.998290999999995,518.0,35.39,-29.27,13.286,Kepler-band,5913.0,72.81,-81.92,1.04,0.04,-0.04,1.04,0.07,-0.06,2016-05-10
895,896,Kepler-1047,b,Transit,2,56.1886887,0.0002756,-0.0002756,19h14m35.10s,288.646254,+50d47m20.3s,50.788982,566.0,69.13,-45.45,13.350999999999999,Kepler-band,5754.0,83.64,-75.6,1.08,0.05,-0.04,1.13,0.14,-0.09,2016-05-10
896,897,Kepler-1047,c,Transit,2,3.18897601,2.038e-05,-2.038e-05,19h14m35.10s,288.646254,+50d47m20.3s,50.788982,566.0,69.13,-45.45,13.350999999999999,Kepler-band,5754.0,83.64,-75.6,1.08,0.05,-0.04,1.13,0.14,-0.09,2016-05-10
897,898,Kepler-1048,b,Transit,1,6.92101021,2.415e-05,-2.415e-05,18h47m35.60s,281.898352,+42d09m56.8s,42.165787,415.0,16.88,-20.68,14.832,Kepler-band,4651.0,59.42,-62.38,0.75,0.03,-0.04,0.7,0.03,-0.03,2016-05-10
898,899,Kepler-1049,b,Transit,1,3.27346074,5.31e-06,-5.31e-06,19h09m23.22s,287.346741,+47d46m22.6s,47.772957,129.0,9.7,-8.94,14.22,Kepler-band,3864.0,42.03,-41.5,0.51,0.03,-0.03,0.49,0.03,-0.03,2016-05-10
901,902,Kepler-1050,b,Transit,2,15.3787546,6.915e-05,-6.915e-05,18h51m42.00s,282.924996,+48d37m35.0s,48.626391999999996,555.0,138.97,-61.87,13.127,Kepler-band,6010.0,90.67,-99.65,1.09,0.08,-0.07,1.13,0.29,-0.12,2016-05-10
902,903,Kepler-1050,c,Transit,2,21.1284569,0.000112,-0.000112,18h51m42.00s,282.924996,+48d37m35.0s,48.626391999999996,555.0,138.97,-61.87,13.127,Kepler-band,6010.0,90.67,-99.65,1.09,0.08,-0.07,1.13,0.29,-0.12,2016-05-10
903,904,Kepler-1051,b,Transit,1,25.96200249,8.634e-05,-8.634e-05,19h40m37.95s,295.15810600000003,+40d53m55.9s,40.898849,1021.0,366.85,-202.4,13.2,Kepler-band,6675.0,270.59,-222.6,1.43,0.22,-0.16,1.73,0.62,-0.34,2016-05-10
904,905,Kepler-1052,b,Transit,1,34.8538276,0.000126,-0.000126,19h41m22.26s,295.342731,+46d36m08.2s,46.602264,1051.0,196.37,-117.31,14.876,Kepler-band,5888.0,160.5,-173.26,1.03,0.08,-0.07,1.03,0.19,-0.11,2016-05-10
905,906,Kepler-1053,b,Transit,1,2.41435165,2.54e-06,-2.54e-06,19h25m40.47s,291.418635,+39d07m38.7s,39.127415,171.0,8.71,-8.49,13.155999999999999,Kepler-band,4529.0,81.74,-98.25,0.74,0.03,-0.04,0.69,0.03,-0.03,2016-05-10
906,907,Kepler-1054,b,Transit,1,4.30655689,1.426e-05,-1.426e-05,19h22m24.28s,290.601152,+44d33m23.0s,44.556385,1050.0,453.08,-165.23,14.136,Kepler-band,6209.0,106.61,-147.02,1.22,0.18,-0.1,1.34,0.58,-0.2,2016-05-10
907,908,Kepler-1055,b,Transit,1,2.29503623,3.47e-06,-3.47e-06,19h21m56.83s,290.486779,+44d55m57.4s,44.932617,422.0,21.34,-18.86,13.09,Kepler-band,5723.0,76.28,-61.68,0.98,0.03,-0.04,0.94,0.04,-0.04,2016-05-10
908,909,Kepler-1056,b,Transit,1,27.495606,0.0001457,-0.0001457,19h58m06.24s,299.52598,+46d53m57.3s,46.899260999999996,971.0,414.07,-179.4,14.55,Kepler-band,6127.0,199.75,-285.27,1.12,0.2,-0.12,1.2,0.51,-0.21,2016-05-10
909,910,Kepler-1057,b,Transit,1,14.08827448,4.045e-05,-4.045e-05,19h49m48.52s,297.452152,+41d33m29.2s,41.558124,1462.0,514.61,-242.38,15.624,Kepler-band,5987.0,293.78,-296.99,1.07,0.15,-0.11,1.1,0.36,-0.17,2016-05-10
910,911,Kepler-1058,b,Transit,1,110.96546,0.001146,-0.001146,19h38m22.99s,294.595783,+45d52m30.1s,45.875034,525.0,27.28,-34.51,15.498,Kepler-band,4644.0,89.85,-112.73,0.73,0.04,-0.05,0.69,0.03,-0.04,2016-05-10
911,912,Kepler-1059,b,Transit,1,3.76419105,9.54e-06,-9.54e-06,19h16m52.85s,289.220209,+41d42m23.3s,41.706486,673.0,39.99,-58.05,15.484000000000002,Kepler-band,4906.0,81.53,-62.34,0.75,0.04,-0.06,0.72,0.04,-0.06,2016-05-10
916,917,Kepler-1060,b,Transit,1,46.8779367,0.000305,-0.000305,19h04m06.05s,286.025189,+39d37m51.3s,39.630928999999995,861.0,165.87,-101.78,14.632,Kepler-band,5797.0,180.98,-198.61,0.99,0.08,-0.07,0.99,0.19,-0.11,2016-05-10
917,918,Kepler-1061,b,Transit,1,2.75798267,3.88e-06,-3.88e-06,19h44m55.20s,296.230004,+50d16m30.8s,50.27523,585.0,33.45,-28.54,13.263,Kepler-band,6067.0,71.81,-59.04,1.09,0.04,-0.04,1.07,0.06,-0.05,2016-05-10
918,919,Kepler-1062,b,Transit,1,9.30412078,2.394e-05,-2.394e-05,18h55m35.86s,283.899402,+41d13m17.8s,41.221607,388.0,15.95,-16.69,14.796,Kepler-band,4597.0,61.91,-73.2,0.75,0.03,-0.04,0.7,0.02,-0.03,2016-05-10
