row_id,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
1,11 Com b,Radial Velocity,1,326.03,0.32,-0.32,12h20m43.03s,185.179276,+17d47m34.3s,17.792868,110.62,9.61,-11.63,4.74,V (Johnson),4742,100,-100,2.7,0.3,-0.3,19,2,-2
2,11 UMi b,Radial Velocity,1,516.22,3.25,-3.25,15h17m05.89s,229.274536,+71d49m26.0s,71.823898,119.47,6.22,-6.95,5.016,V (Johnson),4340,70,-70,1.8,0.25,-0.25,24.08,1.84,-1.84
3,14 And b,Radial Velocity,1,185.84,0.23,-0.23,23h31m17.42s,352.822571,+39d14m10.3s,39.236198,76.39,3.93,-4.38,5.813,V (Johnson),4813,20,-20,2.2,0.1,-0.2,11,1,-1
4,14 Her b,Radial Velocity,1,1773.4,2.5,-2.5,16h10m24.31s,242.601303,+43d49m03.5s,43.817646,18.15,0.19,-0.2,6.61,V (Johnson),5311,87,-87,0.9,0.05,-0.05,10.16666667,0.816,-0.816
5,16 Cyg B b,Radial Velocity,1,798.5,1,-1,19h41m51.97s,295.466553,+50d31m03.1s,50.517525,21.41,0.23,-0.23,6.25,V (Johnson),5674,52.5,-52.5,0.99,0.1,-0.066666667,9.333333333,0.632,-0.632
6,18 Del b,Radial Velocity,1,993.3,3.2,-3.2,20h58m25.94s,314.608063,+10d50m21.4s,10.839286,73.1,3.56,-3.94,6.313666667,V (Johnson),4979,18,-18,2.3,0.15,-0.083333333,8.5,0.448,-0.448
7,1RXS J160929.1-210524 b,Imaging,1,723.05,2.65,-3.85,16h09m30.30s,242.376268,-21d04m58.9s,-21.083036,145,14,-14,6.377333333,V (Johnson),4060,300,-200,0.85,0.2,-0.1,6.7,0.264,-0.264
8,24 Sex b,Radial Velocity,2,452.8,2.1,-4.5,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,6.441,V (Johnson),5098,44,-44,1.54,0.08,-0.08,4.9,0.08,-0.08
9,24 Sex c,Radial Velocity,2,883,32.4,-13.8,10h23m28.37s,155.86821,-00d54m08.1s,-0.902244,74.79,4.57,-5.21,6.441,V (Johnson),5098,44,-44,1.54,0.08,-0.08,4.9,0.08,-0.08
10,2MASS J01225093-2439505 b,Imaging,1,789.6,26.32,-11.44,01h22m50.94s,20.712243,-24d39m50.6s,-24.664049,36,4,-4,14.24,V (Johnson),3530,50,-50,0.4,0.05,-0.05,2.59,0.045,-0.045
11,2MASS J02192210-3925225 b,Imaging,1,696.2,20.24,-9.08,02h19m22.11s,34.842106,-39d25m22.5s,-39.422928,39.4,2.6,-2.6,16.21,V (Johnson),3064,76,-76,0.11,0.01,-0.01,0.28,0.01,-0.01
12,2MASS J04414489+2301513 b,Imaging,1,602.8,14.16,-6.72,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,140,1.85,-1.85,18.18,V (Johnson),2873,77,-77,0.02,0.016666667,-0.016666667,0.24,0.02,-0.0175
13,2MASS J12073346-3932539 b,Imaging,1,509.4,8.08,-4.36,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,52.4,1.1,-1.1,20.15,V (Johnson),2682,78,-78,0.02,0.023333333,-0.023333333,0.2,0.03,-0.025
14,2MASS J19383260+4603591 b,Eclipse Timing Variations,1,416,2,-2,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,38.7,5.55,-5.55,12.264,Kepler-band,2491,79,-79,0.48,0.03,-0.03,0.16,0.04,-0.0325
15,2MASS J21402931+1625183 A b,Imaging,1,7336.5,1934.5,-584,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,25,10,-10,9.712666667,Kepler-band,2300,80,-80,0.08,0.06,-0.06,0.12,0.05,-0.04
16,30 Ari B b,Radial Velocity,1,335.1,2.5,-2.5,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,39.43,1.64,-1.79,7.161333333,Kepler-band,6300,60,-60,1.16,0.04,-0.04,1.13,0.03,-0.03
17,4 UMa b,Radial Velocity,1,269.3,1.96,-1.96,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,77.4,4.03,-4.5,4.61,V (Johnson),4415,70,-70,1.23,0.15,-0.15,18.11,1.47,-1.47
18,42 Dra b,Radial Velocity,1,479.1,6.2,-6.2,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,97.28,4.34,-4.76,4.82,V (Johnson),4200,70,-70,0.98,0.05,-0.05,22.03,1,-1
19,47 UMa b,Radial Velocity,3,1078,2,-2,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,5.05,V (Johnson),5892,70,-70,1.03,0.05,-0.05,1.23,0.835,-0.835
20,47 UMa c,Radial Velocity,3,2391,100,-87,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,5.05,V (Johnson),5892,70,-70,1.03,0.05,-0.05,1.23,0.67,-0.67
21,47 UMa d,Radial Velocity,3,14002,4018,-5095,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,14.08,0.13,-0.13,5.05,V (Johnson),5892,70,-70,1.03,0.05,-0.05,1.23,0.505,-0.505
22,51 Eri b,Imaging,1,7003.115393,2009.000018,-2547.500018,04h37m36.13s,69.400551,-02d28m24.8s,-2.473548,29.4,0.3,-0.3,5.23,V (Johnson),5842.5,70,-70,1.75,0.05,-0.05,1.215,0.34,-0.34
