row_id,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
23,51 Peg b,Radial Velocity,1,4.230785,3.60E-05,-3.60E-05,22h57m27.98s,344.366577,+20d46m07.8s,20.768833,15.36,0.18,-0.18,5.5,V (Johnson),5793,70,-70,1.12,0.06,-0.06,1.2,0.175,-0.175
24,55 Cnc b,Radial Velocity,5,14.65152,0.00015,-0.00015,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,5.96,V (Johnson),5196,24,-24,0.91,0.01,-0.01,0.94,0.01,-0.01
25,55 Cnc c,Radial Velocity,5,44.4175,0.0073,-0.0073,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,5.96,V (Johnson),5196,24,-24,0.91,0.01,-0.01,0.94,0.01,-0.01
26,55 Cnc d,Radial Velocity,5,4825,39,-39,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,5.96,V (Johnson),5196,24,-24,0.91,0.01,-0.01,0.94,0.01,-0.01
27,55 Cnc e,Radial Velocity,5,0.736539,7.00E-06,-7.00E-06,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,5.96,V (Johnson),5196,24,-24,0.91,0.01,-0.01,0.94,0.01,-0.01
28,55 Cnc f,Radial Velocity,5,262,0.51,-0.51,08h52m35.81s,133.149216,+28d19m50.9s,28.330818,12.53,0.13,-0.13,5.96,V (Johnson),5196,24,-24,0.91,0.01,-0.01,0.94,0.01,-0.01
29,6 Lyn b,Radial Velocity,1,874.774,16.27,-8.47,06h30m47.11s,97.696281,+58d09m45.5s,58.162632,56.95,2.36,-2.58,5.35,V (Johnson),4978,18,-18,1.7,0.1,-0.2,5.2,0.4,-0.3
30,61 Vir b,Radial Velocity,3,4.215,0.0006,-0.0006,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,4.74,V (Johnson),5577,33,-33,0.94,0.03,-0.03,0.96,0.01,-0.01
31,61 Vir c,Radial Velocity,3,38.021,0.034,-0.034,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,4.74,V (Johnson),5577,33,-33,0.94,0.03,-0.03,0.96,0.01,-0.01
32,61 Vir d,Radial Velocity,3,123.01,0.55,-0.55,13h18m24.32s,199.601318,-18d18m40.3s,-18.311195,8.52,0.05,-0.05,4.74,V (Johnson),5577,33,-33,0.94,0.03,-0.03,0.96,0.01,-0.01
33,7 CMa b,Radial Velocity,1,796,7.4,-7.4,06h36m41.04s,99.17099,-19d15m21.2s,-19.255878,19.84,0.27,-0.28,3.92,V (Johnson),4792,100,-100,1.52,0.3,-0.3,2.3,0.1,-0.1
34,70 Vir b,Radial Velocity,1,116.6926,0.0014,-0.0014,13h28m25.81s,202.107544,+13d46m43.6s,13.778788,18.11,0.24,-0.24,4.98,V (Johnson),5439,44,-44,1.09,0.02,-0.02,1.94,0.05,-0.05
35,75 Cet b,Radial Velocity,1,691.9,3.6,-3.6,02h32m09.42s,38.039253,-01d02m05.6s,-1.034896,81.5,6.87,-8.27,5.35,V (Johnson),4846,18,-18,2.49,0.02,-0.27,10.5,1,-1
36,8 UMi b,Radial Velocity,1,93.4,4.5,-4.5,14h56m48.35s,224.201477,+74d54m03.3s,74.900925,159.1,11,-11,6.83,V (Johnson),4847.4,7.5,-7.5,1.8,0.1,-0.1,9.9,0.4,-0.4
37,81 Cet b,Radial Velocity,1,952.7,8.8,-8.8,02h37m41.80s,39.424168,-03d23m46.2s,-3.396175,97.18,8.37,-10.11,5.65,V (Johnson),4785,25,-25,2.4,0.1,-0.4,11,2,-1
38,91 Aqr b,Radial Velocity,1,181.4,0.1,-0.1,23h15m53.50s,348.9729,-09d05m15.9s,-9.087737,45.52,1.77,-1.92,4.25,V (Johnson),4665,18,-18,1.4,0.1,-0.1,11,0.1,-0.1
39,AB Pic b,Imaging,1,225.17,0.545,-0.545,06h19m12.91s,94.803802,-58d03m15.5s,-58.05431,45.52,1.64,-1.76,9.128,V (Johnson),4836.5,19,-19,1.13,0.125,-0.125,5.975,0.15,-0.15
40,BD+14 4559 b,Radial Velocity,1,268.94,0.99,-0.99,21h13m35.99s,318.399963,+14d41m21.8s,14.689387,50.03,3.73,-4.38,9.63,V (Johnson),5008,20,-20,0.86,0.15,-0.15,0.95,0.2,-0.2
41,BD+15 2375 b,Radial Velocity,1,153.22,0.44,-0.44,11h45m55.72s,176.482174,+14d36m59.0s,14.616381,774,165,-165,10.31,V (Johnson),4649,30,-30,1.08,0.14,-0.14,8.95,1.45,-1.45
42,BD+15 2940 b,Radial Velocity,1,137.48,0.34,-0.34,16h00m22.94s,240.095566,+15d32m48.9s,15.54693,175.44,84.5,-84.5,9.046,V (Johnson),4796,117,-117,1.1,0.2,-0.2,14.7,2.8,-2.8
43,BD+20 1790 b,Radial Velocity,1,7.78287,0.00077,-0.00076,07h23m43.59s,110.931612,+20d24m58.8s,20.416334,25.4,4,-4,9.398,V (Johnson),4410,63.5,-63.5,0.63,0.09,-0.09,0.71,0.03,-0.03
44,BD+20 2457 b,Radial Velocity,2,379.63,2.01,-2.01,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,57.075,5.425,-4.85,9.75,V (Johnson),4137,10,-10,2.8,1.5,-1.5,49,26,-26
45,BD+20 2457 c,Radial Velocity,2,621.99,10.2,-10.2,10h16m44.86s,154.18691,+19d53m29.1s,19.891409,88.75,6.85,-5.7,9.75,V (Johnson),4137,10,-10,2.8,1.5,-1.5,49,26,-26
46,BD+20 274 b,Radial Velocity,1,578.2,5.4,-5.4,01h43m40.88s,25.920324,+21d00m19.1s,21.005314,120.425,8.275,-6.55,9.36,V (Johnson),4296,10,-10,0.8,0.2,-0.2,17.3,0.9,-0.9
47,BD+20 594 b,Transit,1,41.6855,0.003,-0.0031,03h34m36.23s,53.650966,+20d35m57.2s,20.599232,152.1,9.7,-7.4,11.038,V (Johnson),5766,99,-99,0.96,0.03,-0.03,0.93,0.06,-0.04
48,BD+48 738 b,Radial Velocity,1,392.6,5.5,-5.5,02h42m50.45s,40.710224,+49d35m13.1s,49.58696,108.1,6.683333333,-5.163333333,9.14,V (Johnson),4414,15,-15,0.74,0.39,-0.39,11,1,-1
49,BD+49 828 b,Radial Velocity,1,2590,300,-180,03h02m33.73s,45.640529,+49d43m48.0s,49.730011,64.1,3.666666667,-2.926666667,9.38,V (Johnson),4943,30,-30,1.52,0.22,-0.22,7.6,1.3,-1.3
50,BD-06 1339 b,Radial Velocity,2,3.8728,0.0004,-0.0004,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.1,0.65,-0.69,9.7,V (Johnson),4324,100,-100,0.7,0.17,-0.17,6.42,1.086666667,-1.086666667
51,BD-06 1339 c,Radial Velocity,2,125.94,0.44,-0.44,05h53m00.28s,88.251183,-05d59m41.4s,-5.994844,20.1,0.65,-0.69,9.7,V (Johnson),4324,100,-100,0.7,0.12,-0.12,5.24,0.873333333,-0.873333333
52,BD-08 2823 b,Radial Velocity,2,5.6,0.02,-0.02,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,42.09,2.67,-3.06,9.88,V (Johnson),4746,63,-63,0.74,0.07,-0.07,4.06,0.66,-0.66
53,BD-08 2823 c,Radial Velocity,2,237.6,1.5,-1.5,10h00m47.72s,150.198837,-09d31m00.0s,-9.51668,42.09,2.67,-3.06,9.88,V (Johnson),4746,63,-63,0.74,0.07,-0.07,2.88,0.446666667,-0.446666667
54,BD-10 3166 b,Radial Velocity,1,3.48777,0.00011,-0.00011,10h58m28.80s,164.620003,-10d46m13.4s,-10.770376,80,10,-10,10.08,V (Johnson),5393,81.5,-81.5,1.01,0.04,-0.04,1.7,0.233333333,-0.233333333
55,BD-11 4672 b,Radial Velocity,1,1667,33,-31,18h33m28.84s,278.370148,-11d38m09.7s,-11.636039,27.3,7.29,-7.36,9.99,V (Johnson),4475,100,-100,0.57,0.01,-0.01,0.52,0.02,-0.02
56,BD-13 2130 b,Radial Velocity,1,714.3,5.3,-5.3,07h37m09.23s,114.288458,-13d54m23.9s,-13.906639,766,4.58,-4.72,9.45,V (Johnson),4594.5,96.5,-96.5,2.4,0.2,-0.2,0.605,0.025,-0.025
57,BD-17 63 b,Radial Velocity,1,655.6,0.6,-0.6,00h28m34.31s,7.142942,-16d13m34.8s,-16.226345,37.54,1.87,-2.08,9.566,V (Johnson),4714,93,-93,0.74,0.03,-0.03,0.69,0.03,-0.03
58,CFBDSIR J145829+101343 b,Imaging,1,10037.5,2737.5,-2737.5,14h58m29.00s,224.620833,+10d13m43.0s,10.228611,23.1,2.4,-2.4,10.5745,V (Johnson),580.5,24.5,-24.5,0.02,0.01,-0.01,0.795,0.035,-0.035
59,CHXR 73 b,Imaging,1,6692.169652,1825.000002,-1825.000002,11h06m28.77s,166.619893,-77d37m33.2s,-77.625877,94.05,16.2,-16.2,11.583,V (Johnson),2370.333333,66.33333333,-66.33333333,0.35,0.056666667,-0.056666667,0.9,0.04,-0.04
60,CT Cha b,Imaging,1,3346.839304,912.5000043,-912.5000043,11h04m09.09s,166.037877,-76d27m19.4s,-76.455383,165,30,-30,12.5915,V (Johnson),4160.166667,108.1666667,-108.1666667,0.65,0.103333333,-0.103333333,1.005,0.045,-0.045
61,CoRoT-1 b,Transit,1,1.5089557,6.40E-06,-6.40E-06,06h48m19.17s,102.079885,-03d06m07.7s,-3.102147,255,50,-50,13.6,V (Johnson),5950,150,-150,0.95,0.15,-0.15,1.11,0.05,-0.05
62,CoRoT-10 b,Transit,1,13.2406,0.0002,-0.0002,19h24m15.29s,291.063708,+00d44m46.1s,0.746143,345,70,-70,15.22,V (Johnson),5075,75,-75,0.89,0.05,-0.05,0.79,0.05,-0.05
63,CoRoT-11 b,Transit,1,2.99433,1.10E-05,-1.10E-05,18h42m44.94s,280.687263,+05d56m15.7s,5.937688,560,30,-30,15.3675,V (Johnson),6440,120,-120,1.27,0.05,-0.05,1.37,0.03,-0.03
64,CoRoT-12 b,Transit,1,2.828042,1.30E-05,-1.30E-05,06h43m03.76s,100.765677,-01d17m47.2s,-1.296439,1150,85,-85,15.515,V (Johnson),5675,80,-80,1.08,0.08,-0.07,1.12,0.1,-0.09
65,CoRoT-13 b,Transit,1,4.03519,3.00E-05,-3.00E-05,06h50m53.07s,102.721137,-05d05m11.2s,-5.086445,1060,100,-100,15.039,V (Johnson),5945,90,-90,1.09,0.02,-0.02,1.01,0.03,-0.03
66,CoRoT-14 b,Transit,1,1.51214,0.00013,-0.00013,06h53m41.81s,103.424211,-05d32m09.7s,-5.536037,1340,110,-110,16.033,V (Johnson),6035,100,-100,1.13,0.09,-0.09,1.21,0.08,-0.08
67,CoRoT-16 b,Transit,1,5.35227,0.0002,-0.0002,18h34m05.93s,278.524691,-06d00m09.3s,-6.002595,840,90,-90,15.63,V (Johnson),5650,100,-100,1.1,0.08,-0.08,1.19,0.14,-0.13
68,CoRoT-17 b,Transit,1,3.7681,0.0003,-0.0003,18h34m47.82s,278.699254,-06d36m44.0s,-6.612234,920,50,-50,15.46,V (Johnson),5740,80,-80,1.04,0.1,-0.1,1.59,0.07,-0.07
69,CoRoT-18 b,Transit,1,1.9000693,2.80E-06,-2.80E-06,06h32m41.38s,98.17241,-00d01m53.7s,-0.031586,870,90,-90,15,V (Johnson),5440,100,-100,0.95,0.15,-0.15,1,0.13,-0.13
70,CoRoT-19 b,Transit,1,3.89713,2.00E-05,-2.00E-05,06h28m08.06s,97.033582,-00d10m14.5s,-0.170681,770,160,-160,14.007,V (Johnson),6090,70,-70,1.21,0.05,-0.05,1.65,0.04,-0.04
71,CoRoT-2 b,Transit,1,1.7429935,1.00E-06,-1.00E-06,19h27m06.49s,291.777056,+01d23m01.4s,1.383714,200,140,-140,12.57,V (Johnson),5625,120,-120,0.96,0.08,-0.08,0.91,0.03,-0.03
72,CoRoT-20 b,Transit,1,9.24285,0.0003,-0.0003,06h30m52.90s,97.720408,+00d13m36.9s,0.226919,1230,120,-120,14.66,V (Johnson),5880,90,-90,1.14,0.08,-0.08,1.02,0.05,-0.05
73,CoRoT-22 b,Transit,1,9.75598,0.00011,-0.00011,18h42m40.11s,280.667115,+06d13m08.9s,6.219136,592,25,-42,13.944,V (Johnson),5939,54,-120,1.1,0.05,-0.05,1.14,0.04,-0.09
74,CoRoT-23 b,Transit,1,3.6313,0.0001,-0.0001,18h39m07.83s,279.782615,+04d21m28.1s,4.357806,600,50,-50,15.63,V (Johnson),5900,100,-100,1.14,0.08,-0.08,1.61,0.18,-0.18
75,CoRoT-24 b,Transit,2,5.1134,0.0006,-0.0006,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,70,-70,15.612,V (Johnson),4950,150,-150,0.91,0.09,-0.09,0.86,0.09,-0.09
76,CoRoT-24 c,Transit,2,11.759,0.0063,-0.0063,06h47m41.41s,101.922547,-03d43m09.5s,-3.719301,600,70,-70,15.594,V (Johnson),4950,150,-150,0.91,0.09,-0.09,0.86,0.09,-0.09
77,CoRoT-25 b,Transit,1,4.86069,6.00E-05,-6.00E-05,18h42m31.12s,280.629662,+06d30m49.8s,6.513829,1000,85,-25,15.576,V (Johnson),6040,90,-90,1.09,0.11,-0.05,1.19,0.14,-0.03
78,CoRoT-26 b,Transit,1,4.20474,5.00E-05,-5.00E-05,18h39m00.12s,279.750514,+06d58m11.2s,6.969787,1670,205,-110,15.558,V (Johnson),5590,100,-100,1.09,0.06,-0.06,1.79,0.18,-0.09
79,CoRoT-27 b,Transit,1,3.57532,6.00E-05,-6.00E-05,18h33m59.00s,278.495813,+05d32m18.5s,5.538462,1115,137.5,-90,15.54,V (Johnson),5900,120,-120,1.05,0.11,-0.11,1.08,0.18,-0.06
80,CoRoT-28 b,Transit,1,5.20851,0.00038,-0.00038,18h34m45.20s,278.688338,+05d34m25.4s,5.57373,560,70,-70,15.26866667,V (Johnson),5150,100,-100,1.01,0.14,-0.14,1.78,0.11,-0.11
81,CoRoT-29 b,Transit,1,2.85057,6.00E-06,-6.00E-06,18h35m36.50s,278.902103,+06d28m46.7s,6.479651,765,50,-50,14.99733333,V (Johnson),5260,100,-100,0.97,0.14,-0.14,0.9,0.12,-0.12
82,CoRoT-3 b,Transit,1,4.2568,5.00E-06,-5.00E-06,19h28m13.26s,292.055263,+00d07m18.6s,0.12182,680,160,-160,14.726,V (Johnson),6740,140,-140,1.37,0.09,-0.09,1.56,0.09,-0.09
83,CoRoT-4 b,Transit,1,9.20205,0.00037,-0.00037,06h48m46.72s,102.194663,-00d40m22.0s,-0.672774,548.425,121.125,-121.125,14.45466667,V (Johnson),6190,60,-60,1.16,0.03,-0.02,1.17,0.01,-0.03
84,CoRoT-5 b,Transit,1,4.0378962,1.90E-06,-1.90E-06,06h45m06.54s,101.277254,+00d48m54.9s,0.815239,416.85,82.25,-82.25,14.18333333,V (Johnson),6100,65,-65,1,0.02,-0.02,1.19,0.04,-0.04
85,CoRoT-6 b,Transit,1,8.886593,4.00E-06,-4.00E-06,18h44m17.41s,281.072525,+06d39m47.5s,6.663194,285.275,43.375,-43.375,13.912,V (Johnson),6090,70,-70,1.05,0.05,-0.05,1.02,0.03,-0.03
86,CoRoT-7 b,Transit,2,0.85359159,5.70E-07,-5.70E-07,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.7,4.5,-4.5,11.668,V (Johnson),5259,58,-58,0.91,0.02,-0.02,0.82,0.02,-0.02
87,CoRoT-7 c,Radial Velocity,2,3.698,0.003,-0.003,06h43m49.47s,100.956125,-01d03m46.9s,-1.063033,153.7,4.5,-4.5,11.668,V (Johnson),5259,58,-58,0.91,0.02,-0.02,0.82,0.02,-0.02
88,CoRoT-8 b,Transit,1,6.21229,3.00E-05,-3.00E-05,19h26m21.24s,291.588518,+01d25m35.2s,1.426452,380,30,-30,14.8,V (Johnson),5080,80,-80,0.88,0.04,-0.04,0.77,0.02,-0.02
89,CoRoT-9 b,Transit,1,95.2738,0.0014,-0.0014,18h43m08.81s,280.786712,+06d12m15.0s,6.204172,460,15.04,-15.04,13.69,V (Johnson),5625,80,-80,0.99,0.04,-0.04,0.94,0.04,-0.04
90,DENIS-P J082303.1-491201 b,Astrometry,1,246.36,1.38,-1.35,08h23m03.13s,125.76305,-49d12m01.3s,-49.200359,20.77,0.08,-0.08,11.184,V (Johnson),4928.25,90,-90,0.07,0.01,-0.01,0.605,0.055,-0.055
91,DH Tau b,Imaging,1,5233.18,365.69,-365.675,04h29m41.56s,67.423158,+26d32m58.3s,26.54952,140,15,-15,8.678,V (Johnson),4231.5,100,-100,0.33,0.012,-0.012,0.27,0.07,-0.07
92,DP Leo b,Eclipse Timing Variations,1,10220,730,-730,11h17m16.00s,169.316667,+17d57m41.1s,17.961417,140,10.01666667,-10.01666667,6.172,V (Johnson),3534.75,110,-110,0.69,0.014,-0.014,0.255,0.0575,-0.0575
93,FU Tau b,Imaging,1,282875,92710,-177025,04h23m35.74s,65.898908,+25d02m59.6s,25.049898,140,5.033333333,-5.033333333,3.666,V (Johnson),2838,120,-120,0.05,0.016,-0.016,0.24,0.045,-0.045
94,Fomalhaut b,Imaging,1,555530,184690,-353320,22h57m39.05s,344.412689,-29d37m20.1s,-29.622236,7.69,0.05,-0.05,1.16,V (Johnson),3054,130,-130,2,0.018,-0.018,0.225,0.0325,-0.0325
95,GJ 1132 b,Transit,1,1.62893,3.10E-05,-3.10E-05,10h14m51.78s,153.715737,-47d09m24.2s,-47.156727,12.04,0.24,-0.24,13.49,V (Johnson),3270,140,-140,0.18,0.02,-0.02,0.21,0.02,-0.02
96,GJ 1214 b,Transit,1,1.58040456,1.60E-07,-1.60E-07,17h15m18.92s,258.828837,+04d57m50.1s,4.96392,7.805,0.125,-0.125,15.1,V (Johnson),3170,23,-23,0.16,0.01,-0.01,0.18,0.01,-0.01
97,GJ 15 A b,Radial Velocity,1,11.4433,0.0016,-0.0016,00h18m22.89s,4.595356,+44d01m22.6s,44.022953,3.57,0.01,-0.01,8.08,V (Johnson),3567,11,-11,0.38,0.06,-0.06,0.39,0,0
98,GJ 163 b,Radial Velocity,3,8.631,0.001,-0.001,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,0.44,-0.46,11.81,V (Johnson),3500,100,-100,0.4,0.02,-0.02,0.3875,0.005,-0.005
99,GJ 163 c,Radial Velocity,3,25.6,0.02,-0.02,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,0.44,-0.46,11.81,V (Johnson),3500,100,-100,0.4,0.02,-0.02,0.385,0.01,-0.01
100,GJ 163 d,Radial Velocity,3,603,12,-12,04h09m15.67s,62.315273,-53d22m25.3s,-53.373699,14.97,0.44,-0.46,11.81,V (Johnson),3500,100,-100,0.4,0.02,-0.02,0.3825,0.015,-0.015
101,GJ 179 b,Radial Velocity,1,2288,59,-59,04h52m05.73s,73.023865,+06d28m35.5s,6.476539,12.12,0.56,-0.62,12,V (Johnson),3370,100,-100,0.36,0.03,-0.03,0.38,0.02,-0.02
102,GJ 3021 b,Radial Velocity,1,133.71,0.2,-0.2,00h16m12.68s,4.052823,-79d51m04.3s,-79.851181,17.62,0.16,-0.17,6.59,V (Johnson),5540,75,-75,0.9,0.04,-0.04,0.9,0.0225,-0.0225
103,GJ 317 b,Radial Velocity,1,692,2,-2,08h40m59.22s,130.24673,-23d27m22.6s,-23.456289,15.1,0.22,-0.22,11.97,V (Johnson),3510,50,-50,0.42,0.05,-0.05,0.733333333,0.025,-0.025
104,GJ 328 b,Radial Velocity,1,4100,300,-300,08h55m07.62s,133.781754,+01d32m47.4s,1.546508,20.03,0.85,-0.92,9.97,V (Johnson),3900,100,-100,0.69,0.05,-0.05,0.566666667,0.0275,-0.0275
105,GJ 3293 b,Radial Velocity,2,30.6,0.01,-0.01,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,21.3225,1.3625,-1.415,11.962,V (Johnson),3466,49,-49,0.42,0.0525,-0.0525,0.4,0.03,-0.03
106,GJ 3293 c,Radial Velocity,2,123.75,0.3,-0.3,04h28m35.72s,67.14882,-25d10m09.5s,-25.169301,22.615,1.875,-1.91,11.962,V (Johnson),3466,49,-49,0.42,0.055,-0.055,0.4,0.03,-0.03
107,GJ 3341 b,Radial Velocity,1,14.207,0.007,-0.007,05h15m46.72s,78.944663,-31d17m45.4s,-31.295951,23.9075,2.3875,-2.405,12.08,V (Johnson),3526,49,-49,0.47,0.0575,-0.0575,0.44,0.03,-0.03
108,GJ 3470 b,Radial Velocity,1,3.3366487,4.30E-06,-3.30E-06,07h59m05.84s,119.774349,+15d23m29.4s,15.391492,25.2,2.9,-2.9,12.33,V (Johnson),3652,50,-50,0.51,0.06,-0.06,0.48,0.04,-0.04
109,GJ 3634 b,Radial Velocity,1,2.64561,0.00066,-0.00066,10h58m35.10s,164.646242,-31d08m38.4s,-31.143989,19.8,0.6,-0.6,11.93,V (Johnson),3687,59,-59,0.45,0.05,-0.05,0.43,0.03,-0.03
110,GJ 3998 b,Radial Velocity,2,2.64977,0.00081,-0.00077,17h16m00.64s,259.002655,+11d03m27.6s,11.057666,17.79,0.72,-0.72,10.83,V (Johnson),3722,68,-68,0.5,0.05,-0.05,0.49,0.05,-0.05
111,GJ 3998 c,Radial Velocity,2,13.74,0.016,-0.016,17h16m00.64s,259.002655,+11d03m27.6s,11.057666,17.79,0.72,-0.72,10.83,V (Johnson),3722,68,-68,0.5,0.05,-0.05,0.49,0.05,-0.05
112,GJ 433 b,Radial Velocity,1,7.3709,0.0008,-0.0008,11h35m26.95s,173.862289,-32d32m23.9s,-32.53997,9.04,0.14,-0.15,9.806,V (Johnson),3600,53.66666667,-53.66666667,0.48,0.06,-0.06,0.475,0.035,-0.035
