row_id,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,ra_str,ra,dec_str,dec,st_dist,st_disterr1,st_disterr2,st_optmag,st_optband,st_teff,st_tefferr1,st_tefferr2,st_mass,st_masserr1,st_masserr2,st_rad,st_raderr1,st_raderr2
12,2MASS J04414489+2301513,b,Imaging,1,8.26E-05,14.16,-6.72,04h41m44.90s,70.437073,+23d01m51.4s,23.030941,0.016099021,1.85,-1.85,0.897927461,V (Johnson),2873,77,-77,0,0.016666667,-0.016666667,0.24,0.02,-0.0175
13,2MASS J12073346-3932539,b,Imaging,1,6.98E-05,8.08,-4.36,12h07m33.47s,181.889447,-39d32m54.0s,-39.548332,0.005789245,1.1,-1.1,1,V (Johnson),2682,78,-78,0,0.023333333,-0.023333333,0.2,0.03,-0.025
14,2MASS J19383260+4603591,b,Eclipse Timing Variations,1,5.70E-05,2,-2,19h38m32.61s,294.635865,+46d03m59.1s,46.066418,0.004176872,5.55,-5.55,0.591398964,Kepler-band,2491,79,-79,0.118556701,0.03,-0.03,0.16,0.04,-0.0325
15,2MASS J21402931+1625183 A,b,Imaging,1,0.001004988,1934.5,-584,21h40m29.32s,325.122159,+16d25m18.3s,16.421759,0.002564498,10,-10,0.459205527,Kepler-band,2300,80,-80,0.015463918,0.06,-0.06,0.12,0.05,-0.04
16,30 Ari B,b,Radial Velocity,1,4.59E-05,2.5,-2.5,02h36m57.74s,39.240585,+24d38m53.0s,24.648064,0.004262786,1.64,-1.79,0.32701209,Kepler-band,6300,60,-60,0.293814433,0.04,-0.04,1.13,0.03,-0.03
17,4 UMa,b,Radial Velocity,1,3.69E-05,1.96,-1.96,08h40m12.82s,130.053406,+64d19m40.6s,64.327934,0.008731533,4.03,-4.5,0.194818653,V (Johnson),4415,70,-70,0.31185567,0.15,-0.15,18.11,1.47,-1.47
18,42 Dra,b,Radial Velocity,1,6.56E-05,6.2,-6.2,18h25m59.14s,276.496399,+65d33m48.5s,65.563484,0.01107124,4.34,-4.76,0.205699482,V (Johnson),4200,70,-70,0.24742268,0.05,-0.05,22.03,1,-1
19,47 UMa,b,Radial Velocity,3,0.000147659,2,-2,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,0.001279307,0.13,-0.13,0.21761658,V (Johnson),5892,70,-70,0.260309278,0.05,-0.05,1.23,0.835,-0.835
20,47 UMa,c,Radial Velocity,3,0.000327522,100,-87,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,0.001279307,0.13,-0.13,0.21761658,V (Johnson),5892,70,-70,0.260309278,0.05,-0.05,1.23,0.67,-0.67
21,47 UMa,d,Radial Velocity,3,0.00191807,4018,-5095,10h59m27.97s,164.866562,+40d25m48.9s,40.430256,0.001279307,0.13,-0.13,0.21761658,V (Johnson),5892,70,-70,0.260309278,0.05,-0.05,1.23,0.505,-0.505
